entity,date,income_million,cumulative_income_million
tomas_zima,2022-07-01,0.00000473,0.00000473
libor_michalek,2022-07-01,0.005,0.005
libor_michalek,2022-07-01,0.005,0.01
libor_michalek,2022-07-01,0.005,0.015
josef_stredula,2022-07-01,0.0904,0.0904
libor_michalek,2022-07-03,0.005,0.02
danuse_nerudova,2022-07-04,0.00000166,0.00000166
danuse_nerudova,2022-07-04,0.42493829,0.42493995
libor_michalek,2022-07-04,0.005,0.025
karel_janecek,2022-07-04,1.032192,1.032192
denisa_rohanova,2022-07-04,0.01,0.01
libor_michalek,2022-07-05,0.0005,0.0255
josef_stredula,2022-07-06,0.05,0.1404
danuse_nerudova,2022-07-07,0.00099007,0.42593002
libor_michalek,2022-07-07,0.0005,0.026
libor_michalek,2022-07-07,0.001,0.027
petr_pavel,2022-07-07,0.0005,0.0005
petr_pavel,2022-07-07,0.2,0.2005
petr_pavel,2022-07-07,0.25,0.4505
petr_pavel,2022-07-07,0.5,0.9505
petr_pavel,2022-07-07,0.25,1.2005
petr_pavel,2022-07-08,0.001,1.2015
petr_pavel,2022-07-08,0.002,1.2035
petr_pavel,2022-07-08,0.005,1.2085
petr_pavel,2022-07-08,0.002023,1.210523
petr_pavel,2022-07-08,0.0004,1.210923
petr_pavel,2022-07-08,0.01,1.220923
petr_pavel,2022-07-08,0.000333,1.221256
petr_pavel,2022-07-08,0.001,1.222256
petr_pavel,2022-07-08,0.0007,1.222956
petr_pavel,2022-07-08,0.0005,1.223456
petr_pavel,2022-07-08,0.002,1.225456
petr_pavel,2022-07-08,0.0005,1.225956
petr_pavel,2022-07-08,0.001,1.226956
petr_pavel,2022-07-08,0.0001,1.227056
petr_pavel,2022-07-08,0.0003,1.227356
petr_pavel,2022-07-08,0.002298,1.229654
petr_pavel,2022-07-08,0.0005,1.230154
petr_pavel,2022-07-08,0.0001,1.230254
petr_pavel,2022-07-08,0.5,1.730254
petr_pavel,2022-07-09,0.001,1.731254
